phones,frequency
d ɪ z n iː l æ n d,3
m aɪ n d z,6
m oʊ b iː,24
dʒ uː ɪ ʃ,2
ɪ n b ɹ ɛ d,1
m ɑ d ə s t,2
ɹ ɑ b ə n s ə n,1
θ ɹ oʊ t,36
k l ɪ ɹ d,8
t aɪ ɪ ŋ,3
p oʊ ə m,4
ɪ n k l uː d z,3
s k æ t ə z,2
s p ɔɪ l z,2
tʃ ɑ ɹ l iː z,4
dʒ uː ə l ɹ iː,11
l ə m ɛ n t,1
d ɪ m z,2
ɡ ɹ æ n d p ɛ ɹ ə n t s,4
t æ d,12
s k w ɜː t ə z,11
w ɔ l n ʌ t s,23
h iː b ɹ uː,2
p ə ɹ f ɔ ɹ m,4
f ɹ iː k,2
k ʊ ʃ ə n,6
ə p l ɔ d ɪ d,4
p oʊ ə t,3
b l ʌ ʃ t,5
f iː z ə b ə l,2
ɹ ɪ ɡ ɹ ɛ s ɪ ŋ,1
k ɹ ʌ m b ə l,4
s ə b m ɜː dʒ d,1
p ɛ ɹ ə ʃ uː t,10
k æ d b ɛ ɹ iː,1
m ɪ z,6
s m ɑ ɹ t iː z,5
aɪ l z,1
p ɑ l iː z,3
p æ d ɪ ŋ t ə n,111
m eɪ k ʌ p,8
k w ɜː k iː,1
s t ɹ ɔ ŋ l iː,2
ɔ f ə ɹ,12
f ɔ ɹ tʃ ə n ə t l iː,1
ɹ ɪ t ə n,10
f ɛ t ɑ,17
k ɹ æ n s t ə n,2
ɪ n t ə ɹ n æ ʃ ə n ə l,1
l ɑ l iː p ɑ p s,8
d aɪ ə t,2
f ɛ ɹ l iː,5
ə p oʊ z d,8
l ɑ l ɪ z,4
s t ɛ ɹ,5
s ɑ ɹ k æ s t ɪ k,1
v iː z ə z,1
l ə l iː s,2
k ɹ iː eɪ t ə d,7
ɛ n t ə ɹ d,5
n ɑ n t ɑ k s ɪ k,1
s iː k ɑ ŋ k,4
f l ɑ p s,11
k ɑ ɹ b oʊ h aɪ d ɹ eɪ t s,1
m ɑ ɹ ʃ,17
s k ɑ t ɪ ʃ,4
p ɹ ɑ p ə ɹ t iː,2
p ɹ ə p ɔ ɹ ʃ ə n,1
b ɑ ɹ ɡ ə n,1
ɹ ɪ p l aɪ ɪ ŋ,2
m ɑ ɹ m ə l eɪ d,10
s t oʊ d,3
p ə ɹ uː,2
d ɑ ɹ k ə s t,4
oʊ l ɡ ə,1
l eɪ b ə l,5
d ɪ s ɛ m b ə ɹ,19
b ɜː θ d eɪ z,3
k ɹ iː m iː,3
k æ f ə t ɪ ɹ iː ə,34
w ɑ ʃ k l ɔ θ,8
s t iː m ɪ ŋ,4
ʌ l,1
d ɔ ɹ iː n,5
s ɔ l t ɪ d,2
ə n aʊ n s t,5
d ɹ ɛ d f ə l,1
m ʌ ʃ ɪ ɪ s t,1
ɹ ɪ p l aɪ,2
h ɔ ɹ ə ɹ,4
s t ɑ ɹ tʃ,2
s l aɪ s ə ɹ,1
b iː t ə ɹ,1
h æ tʃ ɪ ŋ,10
k ɪ ŋ k s,4
k ɑ m ə n,13
dʒ ɑ n ə θ ə n,1
iː m j uː,7
p oʊ z ɪ ŋ,4
f ɪ ɡ j ə ɹ ɪ ŋ,8
ɪ n d ɔ ɹ z,5
ɛ p ə s oʊ d,3
b ɔ b ə l,1
ɑ ɹ θ ə ɹ z,5
b ɹ ɛ n d ə n,2
l uː s ə ɹ,2
f ɛ z,4
m ə ɹ ɑ k oʊ,1
s t iː m iː,2
æ f ɹ ə k ɑ,6
k ɑ n t ə n ə n t,1
ɡ ɹ oʊ s l iː,1
b iː d iː,3
v ə n ɛ s ə,15
d ɪ s t ɜː b,3
b eɪ l,7
ɡ ʌ s t oʊ,6
ɡ l uː ɪ,1
ɡ uː f iː,2
h oʊ m w ɜː k,15
ɹ eɪ s t,10
k æ tʃ iː,4
d ɹ aʊ n d,1
s k iː z,3
m aɪ l,3
ɑ ɹ m tʃ ɛ ɹ,2
s ɛ t ə l ɪ ŋ,2
t ɹ ɑ m p,1
aɪ oʊ t ə,1
dʒ ʌ ɡ,6
s n ɪ f,6
t uː θ b ɹ ʌ ʃ ɪ z,3
dʒ ɪ f iː,1
ɡ ɑ ɹ d ɪ ŋ,1
s p ɹ ɪ ŋ s t iː n,3
b ɹ uː s,7
d ɪ s ɡ aɪ z d,6
k ə z uː,3
l iː ʃ ɪ z,1
ɹ iː d ə ɹ,4
t ɑ ɹ t s,5
l ɪ v ɪ d,1
m æ k ə ɹ ə l,9
b ɛ n iː,11
ɪ m ɛ n s,3
t ʌ t,6
ɹ iː m aɪ n d z,10
n ə p oʊ l iː ə n,1
p uː tʃ,1
d ɹ ʌ ɡ,3
ɛ f ə ɹ t,8
b ɛ ɡ d,5
k ɹ ɑ s w ɑ k,6
t aɪ p s,12
k w ɪ l,2
k w ɪ t,2
p ɑ s ə b l iː,15
s ə s aɪ ə t iː,2
dʒ ɔ ɹ dʒ ə,28
p ɹ ɛ z ə d ɛ n t,15
ɹ ɔ θ tʃ aɪ l d,1
ɹ ə b ɜː t ə,1
æ l ə b æ m ə,13
t ʌ n,7
dʒ ə p æ n,3
s w eɪ d,1
m ɪ s ɪ s ɪ p iː,30
t w ɪ ŋ k iː,4
d ɔ ɹ m æ n,11
n ɔ ɹ m ə n,35
ɪ n s eɪ n,2
n ʌ m b ə z,1
l uː iː z iː æ n ə,13
oʊ k l ə h oʊ m ə,11
θ ʌ n d ə ɹ d,3
b ɪ h eɪ v d,1
ɛ k s t ɹ iː m l iː,7
ɡ ɹ ʌ m b ə l d,12
ɛ n dʒ ɔɪ ɪ ŋ,10
n ə v ɑ d ə,8
v iː l,1
ɔ ɹ ə ɡ ə n,12
s l iː t,3
t aʊ n ə ɹ z,1
l uː n ə,6
ɪ n s ʌ l t ɪ d,1
aɪ d ə h oʊ,15
ə n uː,2
t ɹ ʌ b ə l z,6
ɡ l iː,7
d uː d ə l z,1
tʃ iː z iː,30
j uː t ɔ,10
ə b s ɜː d,3
t iː z d,3
t ɔ n t ɪ d,3
w aɪ oʊ m ɪ ŋ,19
t ɛ n d ɪ d,3
t aɪ p ɪ ŋ,3
h ʌ n t ə ɹ z,12
k ɑ n t ɛ s t,11
j oʊ j oʊ z,6
k ə n ɛ t ə k ə t,8
m ɛ n z,3
s ə ɹ p ɹ aɪ z ɪ ŋ,2
eɪ m ɪ ŋ,4
ɹ aɪ f ə l z,3
t ɪ p iː,19
z ʌ ɡ,1
ɹ ɪ m ɛ m b ə ɹ ɪ ŋ,9
ɹ ɪ d ɪ ŋ,1
h æ m p ʃ ə ɹ,35
v ə ɹ m ɑ n t,23
ɡ ʌ n z,4
ɹ oʊ p s,4
p ɹ æ k t ɪ k l iː,18
m ə dʒ ɛ s t ɪ k,1
m ɑ ɹ,3
ɪ ŋ ɡ l ə n d,10
ɹ ɑ b ə n z,5
ɡ ɑ ɹ d ə n z,12
w ɪ n z ə ɹ,2
ɡ ɹ iː t ə d,3
ɪ k s k l eɪ m d,11
m eɪ l m æ n,2
aʊ t d ɔ ɹ,8
b ɪ d iː,1
ɪ t iː,6
k ɑ l ə ɹ ɑ d oʊ,13
t ɹ ɛ ʒ ə ɹ z,12
m ɑ n t æ n ə,7
k æ n z ə s,9
d ɹ ʌ ɡ d,1
n ə b ɹ æ s k ə,4
k æ l ə f ɔ ɹ n j ə,31
d ə k oʊ t ə,11
s aʊ θ,36
l eɪ ɪ ŋ,2
k ɛ ɹ ə l aɪ n ə,20
s p ɹ ʌ ŋ,1
k ə f eɪ,6
iː v n ɪ ŋ z,2
t ɔ s ɪ ŋ,3
t ɛ n ə s iː,6
p ɹ ə d ʌ k t ɪ v,3
s ɪ m ə l ə ɹ,14
s t iː v ə n,1
k ɛ n iː,4
ɑ ɹ k ə n s ɑ,6
d ɪ t eɪ l,3
m ə z ʊ ɹ iː,9
aɪ ə w ə,13
p ɔ ɹ t,3
b ɑ b ɪ ŋ,2
ɹ ɪ s p ɛ k t,2
h æ n d ə l d,1
ɡ ɹ iː k,2
f iː tʃ ə ɹ z,2
s t ɔ ɹ ə dʒ,1
k ɔ ɹ n ə ɹ z,7
ɹ ɛ s t ə d,2
b ɔ ɹ d ə ɹ z,5
m ɪ n ɪ s oʊ t ə,8
oʊ h aɪ oʊ,10
p ɪ ɹ d,12
ɪ n d iː æ n ə,11
ɪ l ə n ɔɪ,3
p ɜː tʃ,4
n ɔ ɹ m ə n z,2
h ɛ z ɪ t eɪ t ɪ d,2
s k ɛ ɹ s l iː,3
w ɪ s k ɑ n s ə n,17
v ɪ z ɪ t ə ɹ z,5
d uː ə b ə l,2
m æ n ə dʒ ə ɹ,19
m æ n ə dʒ d,4
ɑ ɹ m ə ɹ d,1
ə l aʊ d,24
s t uː d iː oʊ,6
w ɜː k ə b ə l,1
v aɪ z ə ɹ,3
d ɔ d l ɪ ŋ,2
h ɑ b iː,3
p l iː z ɪ ŋ,1
k ɹ iː eɪ t,2
d ɪ s t ɹ æ k t,3
b ɪ t ə ɹ,23
k ə n t ʌ k iː,15
d ɑ n ə,1
tʃ ʌ b ɪ ɪ s t,1
k eɪ v z,13
n ɔɪ z iː ə s t,2
ʃ ɛ l v z,6
w ɛ d ɪ ŋ,26
b ɜː s t,10
ɪ n s t ə n t,3
k ə n t ɪ n j uː d,2
n iː s ɪ z,1
ɹ ɛ z ə ɹ v eɪ ʃ ə n,1
n ɑ d ə d,10
ɑ ɹ t ɪ s t s,2
p l iː z d,5
t aɪ t ə l,7
ə m eɪ z m ə n t,3
ɪ n s p ə ɹ eɪ ʃ ə n,2
s ə dʒ ɛ s t ɪ d,13
p eɪ s t ɪ d,1
ɹ ɪ p ɪ ŋ,1
p ɹ ɪ n t ɪ d,2
s t ɹ ɪ p ɪ ŋ,3
ɪ n t ɹ ə s t,5
f ɪ t ɪ ŋ,5
f ʊ t b ɔ l z,6
k æ n ə d ə,28
s k ʌ l p t ə ɹ z,1
iː ɡ ə ɹ l iː,5
h æ n d ɪ ŋ,4
w ɜː θ,7
m ɪ ʃ ɪ ɡ ə n,9
n ɪ k ə l,4
t ɹ iː t s,23
s t ʌ f s,2
ɛ ɹ iː ə l,184
s eɪ f ə ɹ,2
k ɹ æ f t,1
k ə n t ɛ s t ə n t s,1
ɹ iː m uː v ɪ ŋ,2
ɛ k oʊ d,2
p ɑ ɹ t ɪ k j ə l ə ɹ l iː,3
f ə ɹ ɡ ɑ t ə n,9
θ aʊ z ə n d θ,3
b ʌ s ɪ z,4
t ɹ ɑ l iː z,1
l eɪ d ə n,2
s t æ ɡ ə ɹ d,2
m ɑ ɹ k ə t s,1
tʃ ɛ s n ʌ t,14
k æ n d iː d,6
b æ l ə ɹ iː n ə z,4
tʃ ɛ s n ə t s,4
ɡ æ l ə ɹ iː,5
m iː n w aɪ l,17
dʒ ʌ dʒ ɪ ŋ,1
dʒ ʌ dʒ ɪ z,3
ɪ ɡ z æ m ə n d,7
ɪ d,5
d ɪ z ɜː v d,1
f l oʊ t s,6
h ʌ d ə l d,2
ɡ ɹ æ dʒ uː ə l iː,2
k ɹ iː eɪ ʃ ə n,2
d ə ɹ ɛ k t ə ɹ,3
ə m ʌ k,1
b l ɛ n d,5
s n æ tʃ ə ɹ,1
f ɔ ɹ s t,4
dʒ ɪ f,1
ɪ n v ɛ s t ə ɡ eɪ t,4
n ɪ ɹ l iː,4
s t ɹ eɪ n dʒ ɪ s t,1
h uː ɛ v ə ɹ,6
t ɛ n d ɪ ŋ,1
s w iː t ə ɹ,2
ɹ iː m uː v d,4
ɡ l uː m ə l iː,1
f l ɛ d,5
t ɹ æ n s k ɹ aɪ b ɪ ŋ,2
w ɪ f,1
s n æ tʃ,3
p ɜː p ə s ə z,2
ɹ æ s k ə l,5
m ɑ m b oʊ,1
ɹ iː f j uː ə l,2
k ɑ ɹ b z,3
s iː ɡ ʌ l z,2
t ʊ t s ɪ z,2
f ʊ t s ɪ,2
dʒ eɪ l,2
w ɔ t ə ɹ m ə n,1
ɹ ɪ d ə l z,1
tʃ ɪ ɹ ɪ ŋ,3
b æ m b uː z l d,1
p l æ t f ɔ ɹ m,8
d ɛ n t ə l,9
b ɪ t iː,7
w ɪ n ə ɹ,15
dʒ ʌ dʒ,4
d ɛ ɹ ɪ ŋ,2
m ɪ dʒ ə t,1
m æ s ə tʃ uː s ə t s,1
d ɹ iː m d,7
b ɹ iː ð ɪ ŋ,9
p iː n ɪ s,4
m ə n ɔ ɹ ə,2
p ɹ ɑ m p t l iː,3
s ɛ k j ə l ə ɹ,1
ɑ ɹ m ə ɹ,6
b ɑ ð ə ɹ d,4
d ʌ f ə l,1
h ʌ n t,16
h ɛ ɹ d,3
t ʊ ɹ,5
d ɪ z ɜː v,3
v ə dʒ aɪ n ə,2
h ɑ ɹ t ə d,4
b uː ɪ ŋ,2
f ɹ iː m ə n,1
ʃ ɔ ɹ t l iː,7
w ɛ n z,3
k ɹ aɪ k ɪ,1
ɡ l æ n s t,1
ɡ eɪ z,4
dʒ ɑ n ə θ ə n z,2
ɡ æ s p,1
ɑ d,17
h iː v ɪ ŋ,1
b ʌ l dʒ,1
s k æ t ə ɹ ɪ ŋ,1
l eɪ b ə ɹ,3
t eɪ s t ɪ d,8
dʒ iː ɑ ɡ ɹ ə f iː,3
s w æ m,23
f ə m ɪ l j ə ɹ,5
s k uː l z,2
b l ɑ n d,10
k ə n v ɪ n s ɪ ŋ,1
aɪ s iː,7
s k aʊ l,2
p ɜː s ə n æ l ɪ t iː,2
b ɹ ɪ ɡ z,3
p ʌ n tʃ t,3
s iː n j ɔ ɹ,3
ə s t ɑ n ɪ ʃ m ə n t,1
p ʌ n tʃ ɪ ŋ,2
s aɪ ə n t ɪ s t,2
m aɪ k ɹ ə s k oʊ p,2
m j uː z ɪ ʃ ə n,2
b æ ɡ iː,5
f ɹ oʊ z ə n,100
w ɑ b ə l iː,4
ɛ n dʒ ɔɪ d,4
ə d ɑ p t ɪ ŋ,1
ɹ ɪ d ə n s,1
d ɪ dʒ ə t ə l,2
s n ɔ ɹ z,4
l uː z ə z,4
p ɹ ə n aʊ n s,6
b ɹ ɪ t ɪ ʃ,1
l aɪ b ɹ ɛ ɹ iː ə n,10
b ɪ s k ə t s,17
ʃ ɑ k ɪ ŋ,7
ɹ ɪ s iː d ɪ ŋ,1
b ɑ b ɑ ɹ,6
d ɑ n z,7
ɑ p ʃ ə n,7
s ə l ɛ s t,6
m æ p s,6
h aɪ iː n ə,4
k eɪ dʒ ɪ z,8
t ɑ d l ə ɹ z,12
ɑ ɹ t ə k ə l,5
v ɛ t ɹ ə n ɛ ɹ iː ə n,10
s ɑ m,1
ɑ p t ɪ d,1
k iː p ə ɹ z,3
j ɛ s t ə ɹ d eɪ z,3
ɪ n ə p ɹ oʊ p ɹ iː ɪ t,2
ə p ɹ oʊ p ɹ iː ə t,6
m ɑ ɹ b ə l z,5
d ɪ n aɪ,3
m ɑ ɹ tʃ ɪ z,1
h ɔ n d ə,1
ɔ ɹ iː oʊ,1
s m uː ð z,3
s t iː m ɹ oʊ l ə ɹ,1
f ɪ b ɪ ŋ,1
s ʌ n l aɪ t,6
ɡ l oʊ d,2
aʊ t l aɪ n,3
h ʌ n iː d uː,6
ɹ ʌ ʃ ə,2
f l aʊ n d ə ɹ,68
ɹ ɪ p iː t ɪ ŋ,1
k ɑ n t ɛ k s t,1
d ɪ v ɛ l ə p m ɛ n t ə l,1
aʊ t d ɔ ɹ z,23
s p ɛ ɹ oʊ z,1
s ɛ n t ə n s ə z,21
m ɪ d l z,2
n ɑ n ə ɡ z ɪ s t ə n t,1
b ɛ d ɪ ŋ,1
l aɪ t ə s t,1
k l æ m ɪ ŋ,1
d ɪ s k ə n s ɜː t ɪ ŋ,1
b oʊ ə,7
h ɔ l t ə ɹ,1
ɹ æ z b ɛ ɹ iː z,43
s iː z ə n,7
w ɜː iː s ə m,1
s p ɪ ɹ z,1
b ɹ iː t n iː,1
d ɹ ʌ ŋ k,3
s k ɛ dʒ ʊ l d,2
ɛ ɹ iː ə,17
l aɪ m,3
s t iː v z,4
t aɪ ɹ ɪ ŋ,2
m ʌ d ə l,1
m ɪ ɹ,2
d oʊ d oʊ,1
ɹ ə f ɜː,2
p ɛ n s ə l v eɪ n j ə,13
s k uː t ɪ ŋ,3
h ɪ s t ɛ ɹ ɪ k l iː,1
p æ s t ɛ l z,7
tʃ ɔ k ɪ,1
s ɑ b d,3
ɡ eɪ z ɪ ŋ,5
b ʌ z d,2
ə k eɪ ʒ ə n,1
s p aɪ ɪ ŋ,8
ɪ n s ɛ k t s,31
p l ʌ m p,5
ɹ ə f ɜː d,1
w ʊ d ə v,9
ɔ ɹ k ə s t ɹ ə,11
s l aɪ,3
dʒ ʌ ɡ z,6
p ɹ aɪ m ɛ ɹ iː,1
ɡ oʊ l d f ɪ n tʃ,2
d ɑ ɹ l ɪ ŋ z,2
s t ɛ p s ɪ s t ə ɹ z,8
s t ɛ p m ʌ ð ə ɹ,19
b ɜː n iː,1
b ɪ t ə l,1
w ɪ s k t,3
s t ɛ p s ɪ s t ə ɹ,2
ɪ n v aɪ t,10
m ɛ s ə n dʒ ə ɹ,2
ɹ iː s aɪ k ə l d,4
h j uː m ɔ ŋ ɡ ə s,4
k ɛ ɹ ə n,1
ʌ l t ɹ ə,1
dʒ ɛ l ə s,13
s w ɜː l d,3
s p ɑ ɹ k l ɪ ŋ,4
w ɛ p t,2
b ɪ l uː ɡ ə,18
d ɪ v ɛ l ə p t,2
dʒ ɛ n t ə l m ɪ n,5
ʌ p ə ɹ,4
ɹ æ ɡ z,15
ɡ ɹ ʌ n t,5
ɡ ɹ ʌ n t s,4
ɹ ə s iː v d,4
ɹ oʊ p ɪ ŋ,3
h ɔ l z,2
s æ d ə l,9
w oʊ k ə n,3
p ɹ ɪ n s ɪ z,7
w ɪ k ə d,13
m eɪ d ə n,4
d uː k,23
w aɪ t s,4
ə dʒ ʌ s t ɪ ŋ,5
f ɛ ɹ ɪ s t,2
h aʊ d iː,2
w ɪ ŋ k t,2
p j uː p ə l z,2
ɡ ɹ iː t ɪ ŋ z,2
ə s p ɛ ɹ ə ɡ ə s,10
d ɛ s k s,2
s ɛ m ɪ s ɜː k l,4
ɹ oʊ d ə n t s,5
h æ n s ə m,6
k ɔ ɹ t j ɑ ɹ d,3
ɹ ɪ s k,3
k ɔ ʃ ə s,2
ʌ n d ə ɹ w ɛ l m d,1
ɪ k s p ɛ k t ɪ ŋ,6
f ɪ n tʃ,5
ɪ n s aɪ k l ə p iː d iː ə z,2
tʃ ɪ p m ə ŋ k s,6
d iː v ə,4
t ɹ aɪ k,3
s p oʊ k,7
v ɔɪ s ə z,8
t ɪ k l ə ə ɹ,2
k ə m p æ n j ə n z,1
b ʌ l b,15
p ə ɹ m ɪ t ɪ d,2
æ n t l ə ɹ z,4
d w ɔ ɹ f s,19
h eɪ z ə l,25
s aʊ,5
ɡ ɹ eɪ ɪ ʃ,1
b l uː ɪ ʃ,5
h æ ɡ,3
p oʊ ʃ ə n,3
ɪ ɹ eɪ s ə ɹ z,2
v ɑ l ə n t ɪ ɹ d,2
k j ʊ ɹ,2
p ɔɪ z ə n d,4
d ʌ ŋ k ɪ n,1
ɹ ɛ k ə ɡ n aɪ z d,2
p ɛ d l ə ɹ,3
d aɪ m ə n d z,6
ɡ l ɪ t ə ɹ iː,4
dʒ ɔ n t iː,2
k w ɔ ɹ t ə ɹ z,15
iː v ə l,9
m aʊ n t ə n t ɑ p,2
k l ɪ f,5
ə s oʊ s iː ə t s,1
ə w eɪ k ə n d,3
k ə n s ɪ d ə ɹ ə t,2
s k uː b ə,5
p aʊ ə ɹ f ə l,5
p ɹ ɛ f ə ɹ ə n s,5
ə ɹ ɔ ɹ ə,21
f ɪ l ə p,10
ɹ uː l d,1
h j uː b ə ɹ t,1
k ɪ ŋ d ə m z,1
j uː n aɪ t,1
k ɪ ŋ z,4
tʃ ɛ s t ə ɹ,44
s ɛ l ə b ɹ eɪ ʃ ə n,11
d aɪ æ ɡ ə n ə l iː,3
f ɔ n ə,4
f ɛ ɹ iː z,2
n ɑ t ɪ ŋ,1
ɡ ɪ f t s,9
p ɹ aɪ m ɛ ɹ ə l iː,1
eɪ d,2
m ɪ n iː ə tʃ ʊ ɹ,8
k ɜː s,9
s p ɪ n d ə l,6
s ɪ k s t iː n θ,11
p ɛ z ə n t s,1
t ɹ æ n s f ɔ ɹ m,3
s w ʌ ŋ,6
ɛ n d ə d,8
ɹ ɛ ɹ l iː,3
w ɪ l s ə n z,2
ɡ l oʊ b z,1
d ɛ f ə n ɪ ʃ ə n,2
p ɹ ə v aɪ d ɪ ŋ,2
tʃ ɑ ɹ m ə ɹ,1
æ k s ə d ɛ n t ə l iː,6
v ɪ k t ə ɹ,3
d uː p l ɪ k eɪ t ɪ d,1
s t ɹ eɪ n dʒ ə ɹ z,1
w ɔ ɹ n d,4
d ə l ʌ k s,2
l aɪ l æ k s,3
s p ɑ k l ə z,1
ɹ eɪ v ə n,3
k ɹ iː eɪ t ɪ v l iː,1
ɪ k s p ɹ ɛ s t,1
n æ n,7
f ɔ ɹ b ɪ d ə n,1
ə z eɪ l j ə z,6
s t ɹ eɪ n dʒ ə ɹ,6
k ɹ iː eɪ ʃ ə n z,1
ɹ eɪ k t,6
p ɹ ɪ k t,1
oʊ b eɪ d,1
p aʊ ə ɹ l ə s,1
k ə m æ n d ɪ d,2
t ɹ æ n s,1
d ʌ n dʒ ə n,2
v ɜː tʃ uː,2
ʃ iː l d,3
t ɹ aɪ ə m f,1
ɹ aɪ tʃ ə s n ə s,1
w ɛ p ə n z,2
b l æ s t ə d,2
p l ʌ n dʒ d,4
n ɛ l t,2
d ɪ s ɡ aɪ z ɪ z,2
k l ɪ p ə ɹ z,4
b ɪ ɡ oʊ n j ə z,1
w aɪ n ɪ ŋ,14
ɪ n f ə ɹ m eɪ ʃ ə n,6
s t ɔ ɹ ɪ ŋ,1
m ɜː k j ə ɹ iː,14
ə m aʊ n t,18
b ɛ ɹ ɪ ŋ,1
m eɪ ə n eɪ z,3
s ɜː k ə l d,5
f j ʊ ɹ iː ə s,3
b ɹ æ n,11
oʊ t,6
s n iː k t,1
tʃ ɑ ɹ m ɪ ŋ,2
l uː ɪ s,1
f æ ŋ z,4
f ɪ ɹ s,9
æ d ə m ə n t,2
ɡ ɪ l t iː,1
d ɪ s ɡ aɪ z,6
ɡ aɪ d,10
s æ m p ə l d,1
p ɛ n t ɪ ɡ ɑ n z,5
k ɑ k t eɪ l,1
aʊ n s,2
aʊ n s ə z,4
ʃ ɜː b ə t,1
h ɛ k s ə ɡ ə n z,5
k ə n f j uː z,2
f iː m eɪ l,8
ɹ ɛ k ə m ɛ n d ɪ ŋ,1
p ɹ ɑ p s,1
ɪ n t ɜː p ɹ ə t ɪ v,1
eɪ t iː,9
s oʊ l,1
p ɹ ɛ ɡ n ə n s iː,1
ɹ ɪ l eɪ t ɪ d,9
k aɪ t s,4
d ɪ v ɛ l ə p m ə n t,3
ə f ɛ k t,2
m ɑ ɹ z,26
p ə t ɛ n ʃ ə l iː,2
s ɔ ɹ d f ɪ ʃ,5
k æ n d,2
n uː z k æ s t ə ɹ z,1
f ɪ f t iː z,2
f ɹ æ ŋ k,13
p ɹ ə f ɛ s ə ɹ,6
ɡ w ɑ k ə m oʊ l iː,44
f l aɪ ə ɹ,1
s ə dʒ ɛ s t ɪ ŋ,3
t ɹ uː θ f ə l iː,1
s ɛ k ʃ ə n,3
ɪ m p ɹ ɛ s ɪ v,7
b ə ɹ iː t oʊ,4
s w ɛ t ʃ ɜː t,3
w eɪ w ə ɹ d,1
d ɪ s t ɹ ʌ k t,2
ɪ n d iː ə n æ p ə l ɪ s,1
ɛ k s,2
ɹ ɛ n ə v eɪ t ɪ d,1
s k æ n d ə l ə s,2
ɹ ɛ z ɪ d ɛ n ʃ ə l,1
ɹ iː s p ɑ n s ə b ɪ l ə t iː,4
d ɛ f,1
t ɹ æ n s k ɹ aɪ b ə ɹ,1
k ʌ m ɪ ŋ z,1
k oʊ l ə n,1
l aɪ t ɪ ŋ,5
d iː s ə n t,2
ɪ z ə b ɛ l,41
v ɪ k,30
l ʊ k ɪ n,6
f oʊ l,4
b ɔ ɹ,5
v ɪ l,4
s n ʌ k,3
v ə ɹ dʒ ɪ n j ə z,2
h aʊ ə ɹ d,1
m æ θ j uː z,7
s k iː ɪ ŋ,10
n ə b ɹ æ s k ə z,1
ə l æ s k ə z,2
k æ n j ə n,8
w ɜː k ə n,1
j ɛ l oʊ s t oʊ n,4
s t uː p s,1
ɡ aɪ z ə ɹ z,1
s t uː p,3
ə n oʊ,4
ɪ k s p l ɔ ɹ ɪ ŋ,6
d aɪ ə z,3
d ɪ ŋ z,1
ɹ iː s ɜː tʃ,2
p ɹ ɑ d ə k t s,2
b ɑ b ɑ ɹ z,2
m eɪ n l æ n d,1
ɡ æ m b ə l ɪ ŋ,2
æ v ə k ɑ d oʊ z,1
w ɔ l n ʌ t,5
d ɪ s p aɪ t,1
d ɪ s ə p l ə n d,1
ɡ æ s p ə ɹ,3
f ɔ ɹ m ə l,1
ɑ ɹ tʃ,3
ɪ n t ə ɹ v j uː,2
k ə n t ɛ m p ə ɹ ɛ ɹ iː,1
m eɪ dʒ ə ɹ,6
s n ɑ b iː,1
ɹ ʌ ʃ m ɔ ɹ,2
k ɑ ɹ v,3
k ɑ l ə m,1
ɹ aɪ t s,9
b ɔɪ f ɹ ɛ n d,3
t ɛ l ə m ɑ ɹ k ɪ t ə ɹ,3
ɑ ɹ ɡ j uː ɪ ŋ,3
s t ɹ ɛ tʃ ə ɹ,6
p ʌ b l ɪ k,10
m iː t ɪ ŋ z,1
ʌ n b ə l iː v ə b ə l,4
b ɑ ɹ l iː,4
d ɑ ɹ l ə,1
k ɑ n s t ə n t,3
ʃ ɪ m iː,16
l ʌ k iː ə s t,2
k ʌ b ə ɹ d,13
h ʌ b ə ɹ d,2
b ʌ t ə ɹ d,5
p ɪ ɹ iː ə d,14
b ʌ n t ɪ ŋ,3
b oʊ,1
b l aʊ s,5
ə p ɹ iː ʃ iː eɪ t,10
v ɜː ʒ ə n,9
s t ə k ɑ t oʊ,1
ɡ ʌ t ə ɹ,1
d ɹ eɪ n,12
m æ s ɪ v,3
ɪ k s t ɪ ɹ iː ə ɹ,1
d ʌ ŋ k,5
m ɜː m eɪ d,25
n oʊ b ə l,3
p ɹ ɪ z aɪ d ɪ d,1
m ɛ ɹ,2
b ʌ s ə l ɪ ŋ,2
t ɹ aɪ t ə n,15
j ʌ ŋ ɡ ə s t,4
f ə ɹ b eɪ d,1
h j uː m ə n,35
s k ʌ t ə l,9
s iː ɡ ʌ l,9
t ɹ æ ʃ iː ə ə ɹ,1
ɛ ɹ ɪ k,49
l aɪ t ə n ɪ ŋ,7
b uː m d,2
dʒ æ ɡ d,1
v ɛ s ə l,1
f ɹ æ n t ə k ə l iː,1
b ʌ t ə ɹ k ʌ p,1
ʌ n k ɑ n ʃ ə s,1
ɡ ɹ ɑ ɡ ɪ l ɪ,1
s ɜː v ə n t,6
ə w eɪ k ə n,1
h aɪ dʒ iː n,1
b ɹ æ s,2
d ɪ s t ɹ ɔɪ ɪ ŋ,3
ə n d uː ɪ ŋ,3
k ɹ ɪ s t ə l,2
ɪ m ə dʒ,3
k ə l ɛ k t ə d,5
s ɔ t,1
ɪ k s tʃ eɪ n dʒ,4
s ʌ n s ɛ t,11
p iː n ɪ s ɪ z,1
s l eɪ v,5
b ɪ ɡ iː,2
k ə n t eɪ n ɪ ŋ,1
ə w oʊ k,3
d ɛ b ə ɹ ə,1
ɪ n t ə ɹ ʌ p t,1
l ɑ k ɪ t,1
oʊ p ə n ə ɹ,2
j ɔ n z,4
